Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,62.119999,65.209999,62.080002,65.209999,65.209999,155900
2020-01-03,63.000000,64.747002,62.651001,63.320000,63.320000,190100
2020-01-06,61.389999,65.904999,61.240002,65.879997,65.879997,175300
2020-01-07,66.800003,68.074997,65.660004,67.279999,67.279999,206300
2020-01-08,67.309998,71.209999,67.110001,69.900002,69.900002,242700
2020-01-09,72.750000,72.820000,70.099998,71.559998,71.559998,233400
2020-01-10,72.309998,72.779999,70.769997,71.470001,71.470001,189300
2020-01-13,74.169998,76.360001,73.011002,76.360001,76.360001,249700
2020-01-14,77.099998,77.477997,73.925003,74.800003,74.800003,318500
2020-01-15,74.510002,75.847000,73.250000,73.970001,73.970001,215600
2020-01-16,74.500000,75.070000,73.010002,75.070000,75.070000,162300
2020-01-17,75.650002,76.000000,74.449997,75.885002,75.885002,144700
2020-01-21,75.139999,76.809998,75.000000,76.739998,76.739998,155000
2020-01-22,78.440002,79.320999,76.230003,76.955002,76.955002,203200
2020-01-23,75.839996,78.480003,74.800003,78.209999,78.209999,147600
2020-01-24,78.900002,79.120003,73.459999,75.320000,75.320000,341000
2020-01-27,67.199997,71.000000,66.570000,69.769997,69.769997,336200
2020-01-28,72.000000,74.177002,70.920998,73.690002,73.690002,205800
2020-01-29,75.330002,76.250000,73.330002,75.089996,75.089996,163700
2020-01-30,73.440002,76.519997,73.000000,76.519997,76.519997,188300
2020-01-31,77.320000,77.582001,73.309998,74.430000,74.430000,152900
2020-02-03,77.269997,85.344002,77.050003,85.169998,85.169998,273000
2020-02-04,94.519997,100.109001,90.190002,95.099998,95.099998,398500
2020-02-05,95.750000,95.750000,83.489998,86.220001,86.220001,550300
2020-02-06,87.330002,94.949997,86.792999,92.070000,92.070000,211600
2020-02-07,89.199997,91.345001,88.610001,90.050003,90.050003,133000
2020-02-10,91.690002,93.910004,90.724998,93.029999,93.029999,188300
2020-02-11,95.000000,96.900002,92.807999,94.139999,94.139999,188800
2020-02-12,96.330002,98.699997,96.297997,98.150002,98.150002,195100
2020-02-13,94.250000,101.400002,93.769997,99.699997,99.699997,209100
2020-02-14,100.610001,102.709999,99.839996,100.790001,100.790001,188800
2020-02-18,101.250000,106.930000,101.120003,106.930000,106.930000,241700
2020-02-19,112.389999,115.400002,110.662003,114.099998,114.099998,307400
2020-02-20,113.000000,113.980003,103.375000,110.169998,110.169998,469100
2020-02-21,108.860001,109.000000,101.410004,103.550003,103.550003,320100
2020-02-24,86.500000,91.989998,84.389999,87.799004,87.799004,638500
2020-02-25,91.050003,91.879997,79.599998,81.000000,81.000000,684000
2020-02-26,80.750000,87.000000,80.070000,82.000000,82.000000,578800
2020-02-27,73.309998,78.355003,67.720001,68.260002,68.260002,766000
2020-02-28,59.240002,70.419998,59.080002,70.000000,70.000000,680200
2020-03-02,76.309998,80.150002,70.400002,80.150002,80.150002,703900
2020-03-03,84.599998,85.419998,70.550003,73.849998,73.849998,1011600
2020-03-04,78.459999,81.239998,75.160004,80.570000,80.570000,375100
2020-03-05,75.339996,79.734001,72.359001,73.800003,73.800003,330100
2020-03-06,66.250000,69.669998,63.501999,68.169998,68.169998,471400
2020-03-09,51.000000,61.590000,50.000000,53.750000,53.750000,603700
2020-03-10,61.470001,62.709999,55.119999,62.709999,62.709999,583900
2020-03-11,58.689999,59.910000,51.905998,54.799999,54.799999,439700
2020-03-12,42.869999,47.830002,38.160000,38.779999,38.779999,871600
2020-03-13,46.450001,46.450001,36.685001,43.959999,43.959999,740100
2020-03-16,31.980000,37.457001,30.502001,32.009998,32.009998,522500
2020-03-17,32.000000,33.320000,25.190001,30.000000,30.000000,867200
2020-03-18,25.010000,29.056000,23.010000,26.500000,26.500000,667300
2020-03-19,26.500000,33.250000,25.139999,30.260000,30.260000,1225600
2020-03-20,33.500000,34.700001,28.370001,28.500000,28.500000,1033500
2020-03-23,29.000000,30.950001,26.590000,30.100000,30.100000,610400
2020-03-24,34.990002,37.150002,33.810001,36.599998,36.599998,806400
2020-03-25,38.599998,40.750000,34.900002,36.255001,36.255001,636500
2020-03-26,37.150002,40.209999,37.150002,39.500000,39.500000,548800
2020-03-27,37.000000,39.160000,35.400002,36.389999,36.389999,353800
2020-03-30,37.450001,39.180000,35.821999,38.860001,38.860001,319500
2020-03-31,39.220001,42.779999,38.500000,39.814999,39.814999,610800
2020-04-01,36.799999,37.990002,33.669998,34.009998,34.009998,474500
2020-04-02,34.005001,35.810001,32.500000,34.070000,34.070000,436300
2020-04-03,36.259998,36.279999,32.071999,33.450001,33.450001,345800
2020-04-06,37.060001,40.549999,36.279999,40.169998,40.169998,601600
2020-04-07,43.840000,44.500000,40.500000,40.849998,40.849998,567800
2020-04-08,42.000000,42.980999,40.450001,42.610001,42.610001,362200
2020-04-09,44.090000,45.240002,41.950001,43.549999,43.549999,400200
2020-04-13,43.900002,48.770000,43.279999,48.540001,48.540001,369700
2020-04-14,52.770000,57.389999,51.900002,55.560001,55.560001,843600
2020-04-15,53.990002,57.900002,53.500000,56.810001,56.810001,544600
2020-04-16,58.000000,61.248001,56.400002,59.840000,59.840000,849600
2020-04-17,61.459999,61.590000,57.080002,58.790001,58.790001,691800
2020-04-20,57.730000,61.609001,57.544998,59.029999,59.029999,384900
2020-04-21,57.430000,58.029999,49.860001,52.270000,52.270000,712500
2020-04-22,55.490002,58.419998,54.890999,57.723999,57.723999,406200
2020-04-23,58.490002,60.000000,56.060001,56.970001,56.970001,361000
